ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,86666.6
0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,86853.2
1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,87087.4
0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,87335.0
1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,87566.2
0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,87949.0
0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,88225.8
1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,89402.0
0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,90509.4
0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,90999.6
1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,91017.2
0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,91244.0
1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,91432.6
1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,92556.4
0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,92745.2
1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,95266.6
1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,96590.4
0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,97225.4
